#,HBALL,HBW,HBE,HBO,SIZE,M,F,EMP,EDU,AGEA,AGEB,AGEC,AGED,AGEE,DRV,CAR,INC,HHTYP
192,10,1,4,5,6,5,1,1,4,4,0,2,0,0,1,1,3,1
193,12,2,5,5,7,6,1,2,5,3,2,2,0,0,1,1,8,1
194,9,2,4,3,6,1,5,2,4,3,0,2,0,0,1,1,7,1
195,8,1,2,5,4,2,2,1,2,2,0,2,0,0,0,0,5.5,1
196,3,1,0,2,2,1,1,1,0,0,0,2,0,0,1,0,2.8,1
197,10,2,3,5,5,2,3,2,3,3,0,2,0,0,1,0,7,1
198,6,2,0,4,3,2,1,2,0,0,1,1,1,0,1,0,3.9,1
199,12,4,2,6,6,3,3,4,2,1,3,1,1,0,3,0,7,1
200,4,1,1,2,4,2,2,1,1,0,2,0,2,0,1,0,2.5,1
201,12,4,2,6,6,3,3,4,2,1,3,1,1,0,1,1,5.5,1
202,6,2,3,1,6,3,3,1,3,2,2,1,1,0,2,0,4,1
203,5,2,1,2,3,1,2,1,1,1,2,0,0,0,0,0,4,1
204,3,2,1,0,5,2,3,2,1,1,2,1,1,0,1,0,4.5,0
205,6,1,2,3,4,1,3,1,2,1,1,0,2,0,1,1,10,1
206,11,3,3,5,4,3,1,1,3,2,2,0,0,0,2,2,7,1
207,7,1,1,5,3,1,2,1,1,1,2,0,0,0,0,0,3,1
208,10,2,2,6,6,4,2,2,2,1,3,1,1,0,1,1,4.5,1
209,3,0,0,3,2,1,1,0,0,0,0,0,1,1,2,0,2,1
210,6,1,1,4,2,1,1,1,0,0,1,1,0,0,1,0,3,1
211,10,1,4,5,6,2,4,1,4,2,2,1,1,0,2,1,4,1
212,13,5,3,5,6,3,3,4,2,2,2,2,0,0,4,3,15,1
213,3,0,0,3,2,1,1,0,0,0,0,0,1,1,0,0,1,1
214,11,2,5,4,7,5,2,2,2,5,0,2,0,0,1,1,6,1
215,9,2,5,2,7,2,5,2,5,5,0,2,0,0,0,0,6.5,1
216,9,2,3,4,5,4,1,2,3,3,0,2,0,0,1,0,7,0
217,4,2,0,2,2,1,1,2,0,0,0,2,0,0,1,0,6,1
218,1,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,2,1
219,6,3,0,3,4,2,2,2,0,0,2,0,1,2,1,1,8,1
220,7,2,0,5,3,2,1,2,0,0,1,1,1,0,1,0,6.5,1
221,3,1,0,2,4,1,3,2,0,0,0,1,2,1,1,1,5,1
222,3,2,0,1,2,1,1,1,0,0,2,0,0,0,0,0,1.5,1
223,6,2,0,4,2,1,1,1,0,0,1,1,0,0,1,1,8.5,1
224,4,1,0,3,2,1,1,2,0,0,0,2,0,0,2,1,4,1
225,3,0,0,3,2,0,2,1,0,0,1,0,0,1,0,0,0.8,1
226,3,2,0,1,2,1,1,1,0,0,2,0,0,0,0,0,1.5,1
227,3,0,0,3,2,1,1,0,0,0,0,0,1,1,1,1,8,1
228,5,0,0,5,2,1,1,0,0,0,0,0,0,2,1,0,5,1
229,6,2,0,4,4,3,1,2,2,0,2,2,0,0,1,1,4.5,1
230,7,3,1,3,5,3,2,1,3,1,2,2,0,0,2,1,5,1
231,2,0,0,2,1,0,1,0,0,0,0,0,0,1,0,0,1,1
232,3,2,0,1,2,1,1,1,0,0,2,0,0,0,0,0,3,1
233,9,3,2,4,4,2,2,2,2,0,2,0,0,0,2,0,6,0
234,7,2,3,2,5,2,3,2,3,3,0,2,0,0,2,2,5,1
235,10,2,2,6,5,3,2,2,1,1,2,0,2,0,1,1,4,0
236,5,1,1,3,3,2,1,1,1,1,1,1,0,0,1,0,3,0
237,7,3,3,1,5,2,3,2,3,3,1,1,0,0,1,1,3,1
238,5,2,0,3,2,1,1,0,2,0,1,1,0,0,1,0,3.5,0
239,5,3,2,0,4,2,2,2,2,2,1,1,0,0,2,1,6,0
240,7,2,1,4,3,2,1,2,1,1,1,1,0,0,1,0,5,1
241,4,2,0,2,2,1,1,1,0,0,2,0,0,0,1,0,2,1
242,4,1,0,3,2,1,1,1,0,0,2,0,0,0,1,0,2.5,1
243,3,0,1,2,2,0,2,0,1,0,1,1,0,0,0,0,3,1
244,4,0,0,4,2,1,1,0,0,0,0,0,0,2,2,1,4.5,1
245,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0
246,10,1,5,4,7,3,4,2,5,3,2,2,0,0,1,1,4.5,1
247,3,0,0,3,2,1,1,0,0,0,0,0,3,0,0,0,1,0
248,5,1,2,2,4,2,2,1,2,2,1,1,0,0,1,1,4,0
249,11,1,4,6,5,3,2,1,3,3,1,1,0,0,2,1,4,1
250,9,3,1,5,5,3,2,3,1,1,2,1,1,0,2,0,6,1
251,2,1,0,1,2,1,1,1,0,0,0,2,0,0,1,0,3,1
252,7,2,2,3,5,3,2,2,2,1,2,0,2,0,1,1,6,0
253,6,2,3,1,5,4,1,2,3,3,2,0,0,0,1,1,4,1
254,4,0,1,3,3,1,2,0,1,0,1,0,0,2,0,0,4.5,1
255,12,0,5,7,7,4,3,1,5,5,0,2,0,0,0,0,4,1
256,13,2,4,7,6,5,1,1,4,3,1,2,0,0,1,1,2.5,0
